teamID,franchID,team_name,games_played,home_games_played,yearID,season_rank,wins,losses,home_park,attendance,home_runs,runs_scored,division_winner,wild_card_winner,league_winner,world_series_winner,att_per_game
ATL,ATL,Atlanta Braves,162,81,1990,6,65,97,Atlanta-Fulton County Stadium,980129,162,682,N,0,N,N,12100.35802469136
BAL,BAL,Baltimore Orioles,161,80,1990,5,76,85,Memorial Stadium,2415189,132,669,N,0,N,N,30189.8625
BOS,BOS,Boston Red Sox,162,81,1990,1,88,74,Fenway Park II,2528986,106,699,Y,0,N,N,31222.04938271605
CAL,ANA,California Angels,162,81,1990,4,80,82,Anaheim Stadium,2555688,147,690,N,0,N,N,31551.703703703704
CHA,CHW,Chicago White Sox,162,80,1990,2,94,68,Comiskey Park,2002357,106,682,N,0,N,N,25029.4625
CHN,CHC,Chicago Cubs,162,81,1990,4,77,85,Wrigley Field,2243791,136,690,N,0,N,N,27701.123456790123
CIN,CIN,Cincinnati Reds,162,81,1990,1,91,71,Riverfront Stadium,2400892,125,693,Y,0,Y,Y,29640.64197530864
CLE,CLE,Cleveland Indians,162,81,1990,4,77,85,Cleveland Stadium,1225240,110,732,N,0,N,N,15126.41975308642
DET,DET,Detroit Tigers,162,81,1990,3,79,83,Tiger Stadium,1495785,172,750,N,0,N,N,18466.48148148148
HOU,HOU,Houston Astros,162,81,1990,4,75,87,Astrodome,1310927,94,573,N,0,N,N,16184.283950617284
KCA,KCR,Kansas City Royals,161,81,1990,6,75,86,Royals Stadium,2244956,100,707,N,0,N,N,27715.506172839505
LAN,LAD,Los Angeles Dodgers,162,81,1990,2,86,76,Dodger Stadium,3002396,129,728,N,0,N,N,37066.61728395062
MIN,MIN,Minnesota Twins,162,81,1990,7,74,88,Hubert H Humphrey Metrodome,1751584,100,666,N,0,N,N,21624.49382716049
ML4,MIL,Milwaukee Brewers,162,81,1990,6,74,88,County Stadium,1752900,128,732,N,0,N,N,21640.74074074074
MON,WSN,Montreal Expos,162,81,1990,3,85,77,Stade Olympique,1373087,114,662,N,0,N,N,16951.69135802469
NYA,NYY,New York Yankees,162,81,1990,7,67,95,Yankee Stadium II,2006436,147,603,N,0,N,N,24770.81481481481
NYN,NYM,New York Mets,162,81,1990,2,91,71,Shea Stadium,2732745,172,775,N,0,N,N,33737.59259259259
OAK,OAK,Oakland Athletics,162,81,1990,1,103,59,Oakland Coliseum,2900217,164,733,Y,0,Y,N,35805.148148148146
PHI,PHI,Philadelphia Phillies,162,81,1990,4,77,85,Veterans Stadium,1992484,103,646,N,0,N,N,24598.567901234568
PIT,PIT,Pittsburgh Pirates,162,81,1990,1,95,67,Three Rivers Stadium,2049908,138,733,Y,0,N,N,25307.506172839505
SDN,SDP,San Diego Padres,162,81,1990,4,75,87,Jack Murphy Stadium,1856396,123,673,N,0,N,N,22918.46913580247
SEA,SEA,Seattle Mariners,162,81,1990,5,77,85,Kingdome,1509727,107,640,N,0,N,N,18638.604938271605
SFN,SFG,San Francisco Giants,162,81,1990,3,85,77,Candlestick Park,1975528,152,719,N,0,N,N,24389.23456790124
SLN,STL,St. Louis Cardinals,162,81,1990,6,70,92,Busch Stadium II,2573225,73,599,N,0,N,N,31768.20987654321
TEX,TEX,Texas Rangers,162,82,1990,3,83,79,Arlington Stadium,2057911,110,676,N,0,N,N,25096.475609756097
TOR,TOR,Toronto Blue Jays,162,81,1990,2,86,76,Skydome,3885284,167,767,N,0,N,N,47966.46913580247
ATL,ATL,Atlanta Braves,162,81,1991,1,94,68,Atlanta-Fulton County Stadium,2140217,141,749,Y,0,Y,N,26422.432098765432
BAL,BAL,Baltimore Orioles,162,81,1991,6,67,95,Memorial Stadium,2552753,170,686,N,0,N,N,31515.46913580247
BOS,BOS,Boston Red Sox,162,81,1991,2,84,78,Fenway Park II,2562435,126,731,N,0,N,N,31635.0
CAL,ANA,California Angels,162,81,1991,7,81,81,Anaheim Stadium,2416236,115,653,N,0,N,N,29830.074074074077
CHA,CHW,Chicago White Sox,162,81,1991,2,87,75,Comiskey Park II,2934154,139,758,N,0,N,N,36224.12345679013
CHN,CHC,Chicago Cubs,160,83,1991,4,77,83,Wrigley Field,2314250,159,695,N,0,N,N,27882.53012048193
CIN,CIN,Cincinnati Reds,162,81,1991,5,74,88,Riverfront Stadium,2372377,164,689,N,0,N,N,29288.604938271605
CLE,CLE,Cleveland Indians,162,82,1991,7,57,105,Cleveland Stadium,1051863,79,576,N,0,N,N,12827.59756097561
DET,DET,Detroit Tigers,162,81,1991,2,84,78,Tiger Stadium,1641661,209,817,N,0,N,N,20267.41975308642
HOU,HOU,Houston Astros,162,81,1991,6,65,97,Astrodome,1196152,79,605,N,0,N,N,14767.308641975307
KCA,KCR,Kansas City Royals,162,81,1991,6,82,80,Royals Stadium,2161537,117,727,N,0,N,N,26685.64197530864
LAN,LAD,Los Angeles Dodgers,162,81,1991,2,93,69,Dodger Stadium,3348170,108,665,N,0,N,N,41335.43209876544
MIN,MIN,Minnesota Twins,162,81,1991,1,95,67,Hubert H Humphrey Metrodome,2293842,140,776,Y,0,Y,Y,28319.03703703704
ML4,MIL,Milwaukee Brewers,162,80,1991,4,83,79,County Stadium,1478729,116,799,N,0,N,N,18484.1125
MON,WSN,Montreal Expos,161,68,1991,6,71,90,Stade Olympique,934742,95,579,N,0,N,N,13746.20588235294
NYA,NYY,New York Yankees,162,81,1991,5,71,91,Yankee Stadium II,1863733,147,674,N,0,N,N,23009.04938271605
NYN,NYM,New York Mets,161,82,1991,5,77,84,Shea Stadium,2284484,117,640,N,0,N,N,27859.560975609755
OAK,OAK,Oakland Athletics,162,81,1991,4,84,78,Oakland Coliseum,2713493,159,760,N,0,N,N,33499.91358024691
PHI,PHI,Philadelphia Phillies,162,83,1991,3,78,84,Veterans Stadium,2050012,111,629,N,0,N,N,24698.939759036144
PIT,PIT,Pittsburgh Pirates,162,84,1991,1,98,64,Three Rivers Stadium,2065302,126,768,Y,0,N,N,24586.92857142857
SDN,SDP,San Diego Padres,162,81,1991,3,84,78,Jack Murphy Stadium,1804289,121,636,N,0,N,N,22275.172839506173
SEA,SEA,Seattle Mariners,162,81,1991,5,83,79,Kingdome,2147905,126,702,N,0,N,N,26517.345679012345
SFN,SFG,San Francisco Giants,162,81,1991,4,75,87,Candlestick Park,1737478,141,649,N,0,N,N,21450.345679012345
SLN,STL,St. Louis Cardinals,162,84,1991,2,84,78,Busch Stadium II,2448699,68,651,N,0,N,N,29151.17857142857
TEX,TEX,Texas Rangers,162,81,1991,3,85,77,Arlington Stadium,2297720,177,829,N,0,N,N,28366.913580246917
TOR,TOR,Toronto Blue Jays,162,81,1991,1,91,71,Skydome,4001527,133,684,Y,0,N,N,49401.56790123456
ATL,ATL,Atlanta Braves,162,81,1992,1,98,64,Atlanta-Fulton County Stadium,3077400,138,682,Y,0,Y,N,37992.59259259259
BAL,BAL,Baltimore Orioles,162,81,1992,3,89,73,Oriole Park at Camden Yards,3567819,148,705,N,0,N,N,44047.14814814815
BOS,BOS,Boston Red Sox,162,81,1992,7,73,89,Fenway Park II,2468574,84,599,N,0,N,N,30476.222222222223
CAL,ANA,California Angels,162,81,1992,5,72,90,Anaheim Stadium,2065444,88,579,N,0,N,N,25499.30864197531
CHA,CHW,Chicago White Sox,162,82,1992,3,86,76,Comiskey Park II,2681156,110,738,N,0,N,N,32697.024390243903
CHN,CHC,Chicago Cubs,162,81,1992,4,78,84,Wrigley Field,2126720,104,593,N,0,N,N,26255.802469135804
CIN,CIN,Cincinnati Reds,162,81,1992,2,90,72,Riverfront Stadium,2315946,99,660,N,0,N,N,28591.925925925927
CLE,CLE,Cleveland Indians,162,81,1992,4,76,86,Cleveland Stadium,1224094,127,674,N,0,N,N,15112.271604938273
DET,DET,Detroit Tigers,162,80,1992,6,75,87,Tiger Stadium,1423963,182,791,N,0,N,N,17799.5375
HOU,HOU,Houston Astros,162,81,1992,4,81,81,Astrodome,1211412,96,608,N,0,N,N,14955.703703703704
KCA,KCR,Kansas City Royals,162,81,1992,5,72,90,Royals Stadium,1867689,75,610,N,0,N,N,23057.88888888889
LAN,LAD,Los Angeles Dodgers,162,81,1992,6,63,99,Dodger Stadium,2473266,72,548,N,0,N,N,30534.14814814815
MIN,MIN,Minnesota Twins,162,81,1992,2,90,72,Hubert H Humphrey Metrodome,2482428,104,747,N,0,N,N,30647.25925925926
ML4,MIL,Milwaukee Brewers,162,81,1992,2,92,70,County Stadium,1857351,82,740,N,0,N,N,22930.25925925926
MON,WSN,Montreal Expos,162,81,1992,2,87,75,Stade Olympique,1669127,102,648,N,0,N,N,20606.506172839505
NYA,NYY,New York Yankees,162,81,1992,4,76,86,Yankee Stadium II,1748737,163,733,N,0,N,N,21589.345679012345
NYN,NYM,New York Mets,162,81,1992,5,72,90,Shea Stadium,1779534,93,599,N,0,N,N,21969.555555555555
OAK,OAK,Oakland Athletics,162,81,1992,1,96,66,Oakland Coliseum,2494160,142,745,Y,0,N,N,30792.0987654321
PHI,PHI,Philadelphia Phillies,162,81,1992,6,70,92,Veterans Stadium,1927448,118,686,N,0,N,N,23795.65432098765
PIT,PIT,Pittsburgh Pirates,162,81,1992,1,96,66,Three Rivers Stadium,1829395,106,693,Y,0,N,N,22585.123456790123
SDN,SDP,San Diego Padres,162,81,1992,3,82,80,Jack Murphy Stadium,1721406,135,617,N,0,N,N,21251.925925925927
SEA,SEA,Seattle Mariners,162,81,1992,7,64,98,Kingdome,1651367,149,679,N,0,N,N,20387.24691358025
SFN,SFG,San Francisco Giants,162,81,1992,5,72,90,Candlestick Park,1560998,105,574,N,0,N,N,19271.58024691358
SLN,STL,St. Louis Cardinals,162,81,1992,3,83,79,Busch Stadium II,2418483,94,631,N,0,N,N,29857.81481481481
TEX,TEX,Texas Rangers,162,81,1992,4,77,85,Arlington Stadium,2198231,159,682,N,0,N,N,27138.65432098765
TOR,TOR,Toronto Blue Jays,162,81,1992,1,96,66,Skydome,4028318,163,780,Y,0,Y,Y,49732.32098765432
ATL,ATL,Atlanta Braves,162,81,1993,1,104,58,Atlanta-Fulton County Stadium,3884720,169,767,Y,0,N,N,47959.50617283951
BAL,BAL,Baltimore Orioles,162,81,1993,3,85,77,Oriole Park at Camden Yards,3644965,157,786,N,0,N,N,44999.56790123456
BOS,BOS,Boston Red Sox,162,81,1993,5,80,82,Fenway Park II,2422021,114,686,N,0,N,N,29901.49382716049
CAL,ANA,California Angels,162,81,1993,5,71,91,Anaheim Stadium,2057460,114,684,N,0,N,N,25400.74074074074
CHA,CHW,Chicago White Sox,162,81,1993,1,94,68,Comiskey Park II,2581091,162,776,Y,0,N,N,31865.32098765432
CHN,CHC,Chicago Cubs,163,82,1993,4,84,78,Wrigley Field,2653763,161,738,N,0,N,N,32362.963414634145
CIN,CIN,Cincinnati Reds,162,81,1993,5,73,89,Riverfront Stadium,2453232,137,722,N,0,N,N,30286.81481481481
CLE,CLE,Cleveland Indians,162,81,1993,6,76,86,Cleveland Stadium,2177908,141,790,N,0,N,N,26887.753086419754
COL,COL,Colorado Rockies,162,81,1993,6,67,95,Mile High Stadium,4483350,142,758,N,0,N,N,55350.0
DET,DET,Detroit Tigers,162,81,1993,3,85,77,Tiger Stadium,1971421,178,899,N,0,N,N,24338.53086419753
FLO,FLA,Florida Marlins,162,81,1993,6,64,98,Joe Robbie Stadium,3064847,94,581,N,0,N,N,37837.61728395062
HOU,HOU,Houston Astros,162,81,1993,3,85,77,Astrodome,2084618,138,716,N,0,N,N,25736.024691358023
KCA,KCR,Kansas City Royals,162,81,1993,3,84,78,Kauffman Stadium,1934578,125,675,N,0,N,N,23883.67901234568
LAN,LAD,Los Angeles Dodgers,162,81,1993,4,81,81,Dodger Stadium,3170393,130,675,N,0,N,N,39140.654320987655
