,season,team,Est_Payroll
0,1990,Atlanta Braves,"$15,065,501"
1,1990,Baltimore Orioles,"$10,100,084"
2,1990,Boston Red Sox,"$20,858,333"
3,1990,California Angels,"$22,417,500"
4,1990,Chicago Cubs,"$14,599,000"
5,1990,Chicago White Sox,"$10,721,500"
6,1990,Cincinnati Reds,"$14,470,000"
7,1990,Cleveland Indians,"$15,208,000"
8,1990,Detroit Tigers,"$18,393,238"
9,1990,Houston Astros,"$18,752,500"
10,1990,Kansas City Royals,"$24,161,084"
11,1990,Los Angeles Dodgers,"$22,018,704"
12,1990,Milwaukee Brewers,"$20,149,167"
13,1990,Minnesota Twins,"$15,272,000"
14,1990,Montreal Expos,"$17,334,888"
15,1990,New York Mets,"$21,922,834"
16,1990,New York Yankees,"$21,312,318"
17,1990,Oakland Athletics,"$20,087,501"
18,1990,Philadelphia Phillies,"$13,740,167"
19,1990,Pittsburgh Pirates,"$15,556,000"
20,1990,San Diego Padres,"$17,788,334"
21,1990,Seattle Mariners,"$12,867,667"
22,1990,San Francisco Giants,"$21,565,333"
23,1990,St. Louis Cardinals,"$21,048,334"
24,1990,Texas Rangers,"$15,597,872"
25,1990,Toronto Blue Jays,"$19,259,334"
26,1991,Atlanta Braves,"$18,403,500"
27,1991,Baltimore Orioles,"$17,519,000"
28,1991,Boston Red Sox,"$35,167,500"
29,1991,California Angels,"$33,060,001"
30,1991,Chicago Cubs,"$23,380,667"
31,1991,Chicago White Sox,"$16,919,667"
32,1991,Cincinnati Reds,"$26,305,333"
33,1991,Cleveland Indians,"$17,635,000"
34,1991,Detroit Tigers,"$23,838,333"
35,1991,Houston Astros,"$12,852,500"
36,1991,Kansas City Royals,"$26,319,834"
37,1991,Los Angeles Dodgers,"$32,790,664"
38,1991,Milwaukee Brewers,"$23,115,500"
39,1991,Minnesota Twins,"$23,361,833"
40,1991,Montreal Expos,"$10,732,333"
41,1991,New York Mets,"$32,590,001"
42,1991,New York Yankees,"$27,344,168"
43,1991,Oakland Athletics,"$36,999,167"
44,1991,Philadelphia Phillies,"$22,487,332"
45,1991,Pittsburgh Pirates,"$23,634,667"
46,1991,San Diego Padres,"$22,150,001"
47,1991,Seattle Mariners,"$15,691,833"
48,1991,San Francisco Giants,"$30,967,666"
49,1991,St. Louis Cardinals,"$21,860,001"
50,1991,Texas Rangers,"$18,224,500"
51,1991,Toronto Blue Jays,"$19,902,417"
52,1992,Atlanta Braves,"$34,625,333"
53,1992,Baltimore Orioles,"$23,891,667"
54,1992,Boston Red Sox,"$43,610,584"
55,1992,California Angels,"$34,749,334"
56,1992,Chicago Cubs,"$29,829,686"
57,1992,Chicago White Sox,"$30,160,833"
58,1992,Cincinnati Reds,"$33,431,499"
59,1992,Cleveland Indians,"$9,373,044"
60,1992,Detroit Tigers,"$27,322,834"
61,1992,Houston Astros,"$15,407,500"
62,1992,Kansas City Royals,"$33,893,834"
63,1992,Los Angeles Dodgers,"$44,788,166"
64,1992,Milwaukee Brewers,"$31,013,667"
65,1992,Minnesota Twins,"$28,027,834"
66,1992,Montreal Expos,"$15,822,334"
67,1992,New York Mets,"$44,602,002"
68,1992,New York Yankees,"$37,652,334"
69,1992,Oakland Athletics,"$41,035,000"
70,1992,Philadelphia Phillies,"$24,492,834"
71,1992,Pittsburgh Pirates,"$33,944,167"
72,1992,San Diego Padres,"$26,854,167"
73,1992,Seattle Mariners,"$23,304,833"
74,1992,San Francisco Giants,"$33,163,168"
75,1992,St. Louis Cardinals,"$27,583,836"
76,1992,Texas Rangers,"$30,128,167"
77,1992,Toronto Blue Jays,"$44,788,666"
78,1993,Atlanta Braves,"$41,641,417"
79,1993,Baltimore Orioles,"$29,096,500"
80,1993,Boston Red Sox,"$37,120,583"
81,1993,California Angels,"$28,588,334"
82,1993,Chicago Cubs,"$39,386,666"
83,1993,Chicago White Sox,"$39,696,166"
84,1993,Cincinnati Reds,"$44,879,666"
85,1993,Cleveland Indians,"$18,561,000"
86,1993,Colorado Rockies,"$10,353,500"
87,1993,Detroit Tigers,"$38,150,165"
88,1993,Florida Marlins,"$19,330,545"
89,1993,Houston Astros,"$30,210,500"
90,1993,Kansas City Royals,"$41,455,167"
91,1993,Los Angeles Dodgers,"$39,440,999"
92,1993,Milwaukee Brewers,"$23,806,834"
93,1993,Minnesota Twins,"$28,217,933"
94,1993,Montreal Expos,"$18,899,333"
95,1993,New York Mets,"$39,043,667"
96,1993,New York Yankees,"$42,723,000"
97,1993,Oakland Athletics,"$37,812,333"
98,1993,Philadelphia Phillies,"$28,538,334"
99,1993,Pittsburgh Pirates,"$24,822,467"
100,1993,San Diego Padres,"$25,511,333"
101,1993,Seattle Mariners,"$33,646,333"
102,1993,San Francisco Giants,"$35,159,000"
103,1993,St. Louis Cardinals,"$23,367,334"
104,1993,Texas Rangers,"$36,376,959"
105,1993,Toronto Blue Jays,"$47,279,166"
106,1994,Atlanta Braves,"$49,383,513"
107,1994,Baltimore Orioles,"$38,849,769"
108,1994,Boston Red Sox,"$37,859,084"
109,1994,California Angels,"$25,156,218"
110,1994,Chicago Cubs,"$36,287,333"
111,1994,Chicago White Sox,"$39,183,836"
112,1994,Cincinnati Reds,"$41,073,833"
113,1994,Cleveland Indians,"$30,490,500"
114,1994,Colorado Rockies,"$23,887,333"
115,1994,Detroit Tigers,"$41,446,501"
116,1994,Florida Marlins,"$21,633,000"
117,1994,Houston Astros,"$33,126,000"
118,1994,Kansas City Royals,"$40,541,334"
119,1994,Los Angeles Dodgers,"$38,000,001"
120,1994,Milwaukee Brewers,"$24,350,500"
121,1994,Minnesota Twins,"$28,438,500"
122,1994,Montreal Expos,"$19,098,000"
123,1994,New York Mets,"$30,956,583"
124,1994,New York Yankees,"$46,040,334"
125,1994,Oakland Athletics,"$34,172,500"
126,1994,Philadelphia Phillies,"$31,599,000"
127,1994,Pittsburgh Pirates,"$24,217,250"
128,1994,San Diego Padres,"$14,916,333"
129,1994,Seattle Mariners,"$29,228,500"
130,1994,San Francisco Giants,"$42,638,666"
131,1994,St. Louis Cardinals,"$29,275,601"
132,1994,Texas Rangers,"$32,973,597"
133,1994,Toronto Blue Jays,"$43,433,668"
134,1995,Atlanta Braves,"$47,235,445"
135,1995,Baltimore Orioles,"$43,942,521"
136,1995,Boston Red Sox,"$32,455,518"
137,1995,California Angels,"$31,223,171"
138,1995,Chicago Cubs,"$29,505,834"
139,1995,Chicago White Sox,"$46,961,282"
140,1995,Cincinnati Reds,"$43,144,670"
141,1995,Cleveland Indians,"$38,057,835"
142,1995,Colorado Rockies,"$34,154,717"
143,1995,Detroit Tigers,"$37,044,168"
144,1995,Florida Marlins,"$24,515,781"
145,1995,Houston Astros,"$34,169,834"
146,1995,Kansas City Royals,"$29,532,834"
147,1995,Los Angeles Dodgers,"$39,273,201"
148,1995,Milwaukee Brewers,"$17,798,825"
149,1995,Minnesota Twins,"$25,410,500"
150,1995,Montreal Expos,"$12,473,000"
151,1995,New York Mets,"$27,674,992"
152,1995,New York Yankees,"$48,874,851"
153,1995,Oakland Athletics,"$37,739,225"
154,1995,Philadelphia Phillies,"$30,555,945"
155,1995,Pittsburgh Pirates,"$18,355,345"
156,1995,San Diego Padres,"$26,382,334"
157,1995,Seattle Mariners,"$36,481,311"
158,1995,San Francisco Giants,"$36,462,777"
159,1995,St. Louis Cardinals,"$37,101,000"
160,1995,Texas Rangers,"$34,581,451"
161,1995,Toronto Blue Jays,"$50,590,000"
162,1996,Atlanta Braves,"$49,698,500"
163,1996,Baltimore Orioles,"$54,599,315"
164,1996,Boston Red Sox,"$42,393,500"
165,1996,California Angels,"$28,847,000"
166,1996,Chicago Cubs,"$33,081,000"
167,1996,Chicago White Sox,"$45,289,500"
168,1996,Cincinnati Reds,"$42,526,334"
169,1996,Cleveland Indians,"$48,216,360"
170,1996,Colorado Rockies,"$40,324,823"
171,1996,Detroit Tigers,"$23,438,000"
172,1996,Florida Marlins,"$31,132,000"
173,1996,Houston Astros,"$28,487,000"
174,1996,Kansas City Royals,"$20,281,250"
175,1996,Los Angeles Dodgers,"$35,355,000"
176,1996,Milwaukee Brewers,"$21,730,000"
177,1996,Minnesota Twins,"$23,117,000"
178,1996,Montreal Expos,"$16,264,500"
179,1996,New York Mets,"$24,479,500"
180,1996,New York Yankees,"$54,191,792"
181,1996,Oakland Athletics,"$21,243,000"
182,1996,Philadelphia Phillies,"$34,314,500"
183,1996,Pittsburgh Pirates,"$23,017,500"
184,1996,San Diego Padres,"$28,348,172"
185,1996,Seattle Mariners,"$41,328,501"
186,1996,San Francisco Giants,"$37,144,725"
187,1996,St. Louis Cardinals,"$40,269,667"
188,1996,Texas Rangers,"$39,041,528"
189,1996,Toronto Blue Jays,"$30,555,083"
190,1997,Anaheim Angels,"$31,135,472"
191,1997,Atlanta Braves,"$52,278,500"
192,1997,Baltimore Orioles,"$58,516,400"
193,1997,Boston Red Sox,"$43,558,750"
194,1997,Chicago Cubs,"$42,155,333"
195,1997,Chicago White Sox,"$57,740,000"
196,1997,Cincinnati Reds,"$49,768,000"
197,1997,Cleveland Indians,"$56,802,460"
198,1997,Colorado Rockies,"$43,559,667"
199,1997,Detroit Tigers,"$17,272,000"
200,1997,Florida Marlins,"$48,692,500"
201,1997,Houston Astros,"$34,777,500"
202,1997,Kansas City Royals,"$34,810,000"
203,1997,Los Angeles Dodgers,"$45,380,304"
204,1997,Milwaukee Brewers,"$23,655,338"
205,1997,Minnesota Twins,"$34,072,500"
206,1997,Montreal Expos,"$19,295,500"
207,1997,New York Mets,"$39,800,400"
208,1997,New York Yankees,"$62,241,545"
209,1997,Oakland Athletics,"$24,018,500"
210,1997,Philadelphia Phillies,"$36,656,500"
211,1997,Pittsburgh Pirates,"$10,771,667"
212,1997,San Diego Padres,"$37,363,672"
213,1997,Seattle Mariners,"$41,540,661"
214,1997,San Francisco Giants,"$35,592,378"
215,1997,St. Louis Cardinals,"$45,456,667"
216,1997,Texas Rangers,"$53,448,838"
217,1997,Toronto Blue Jays,"$47,079,833"
218,1998,Anaheim Angels,"$41,791,000"
219,1998,Arizona Diamondbacks,"$32,347,000"
220,1998,Atlanta Braves,"$61,186,000"
221,1998,Baltimore Orioles,"$72,525,634"
222,1998,Boston Red Sox,"$56,927,000"
223,1998,Chicago Cubs,"$50,838,000"
224,1998,Chicago White Sox,"$39,850,000"
225,1998,Cincinnati Reds,"$23,005,000"
226,1998,Cleveland Indians,"$61,718,166"
227,1998,Colorado Rockies,"$50,484,648"
228,1998,Detroit Tigers,"$24,265,000"
229,1998,Florida Marlins,"$41,864,667"
230,1998,Houston Astros,"$42,374,000"
231,1998,Kansas City Royals,"$38,097,500"
232,1998,Los Angeles Dodgers,"$48,820,000"
233,1998,Milwaukee Brewers,"$34,139,904"
234,1998,Minnesota Twins,"$28,097,500"
235,1998,Montreal Expos,"$10,641,500"
236,1998,New York Mets,"$52,247,999"
237,1998,New York Yankees,"$66,806,867"
238,1998,Oakland Athletics,"$21,473,000"
239,1998,Philadelphia Phillies,"$36,297,500"
240,1998,Pittsburgh Pirates,"$15,065,000"
241,1998,San Diego Padres,"$46,861,500"
242,1998,Seattle Mariners,"$54,802,036"
243,1998,San Francisco Giants,"$42,738,334"
244,1998,St. Louis Cardinals,"$54,672,521"
245,1998,Tampa Bay Devil Rays,"$27,280,000"
246,1998,Texas Rangers,"$56,752,095"
247,1998,Toronto Blue Jays,"$51,376,000"
248,1999,Anaheim Angels,"$55,633,166"
249,1999,Arizona Diamondbacks,"$68,703,999"
250,1999,Atlanta Braves,"$73,341,000"
251,1999,Baltimore Orioles,"$80,805,863"
252,1999,Boston Red Sox,"$64,097,500"
253,1999,Chicago Cubs,"$62,343,000"
254,1999,Chicago White Sox,"$25,820,000"
255,1999,Cincinnati Reds,"$33,962,761"
256,1999,Cleveland Indians,"$73,679,962"
257,1999,Colorado Rockies,"$61,935,837"
258,1999,Detroit Tigers,"$36,689,666"
259,1999,Florida Marlins,"$21,085,000"
260,1999,Houston Astros,"$55,114,000"
