team_name,batters_avg_age,pitchers_avg_age,Batting_Park_Factor,Pitching_Park_Factor,HoF,AllStars,AllTimeASapp,Est_Payroll,AvgGameStartTime,yearID
Atlanta Braves,27.4,25.8,105,106,2,1,13,"$15,065,501",2:48,1990
Baltimore Orioles,27.4,26.2,97,97,1,2,10,"$10,100,084",3:03,1990
Boston Red Sox,28.9,30.6,104,104,2,3,13,"$20,858,333",2:58,1990
California Angels,29.9,28.1,97,97,2,2,17,"$22,417,500",2:58,1990
Chicago Cubs,28.2,26.1,108,108,3,3,8,"$14,599,000",2:44,1990
Chicago White Sox,27.7,24.9,98,98,2,2,11,"$10,721,500",3:01,1990
Cincinnati Reds,27.5,27.4,105,105,1,5,13,"$14,470,000",2:42,1990
Cleveland Indians,27.3,28.2,99,100,0,3,10,"$15,208,000",2:45,1990
Detroit Tigers,30.7,30.3,101,102,2,2,12,"$18,393,238",2:59,1990
Houston Astros,28.4,31.8,97,98,1,1,11,"$18,752,500",2:48,1990
Kansas City Royals,29.8,27.3,98,98,1,1,18,"$24,161,084",2:50,1990
Los Angeles Dodgers,29.7,28.2,97,97,1,2,16,"$22,018,704",2:51,1990
Milwaukee Brewers,29.5,28.6,99,99,2,1,8,"$20,149,167",2:56,1990
Minnesota Twins,29.5,27.1,106,106,1,1,5,"$15,272,000",2:41,1990
Montreal Expos,27.7,29.3,96,96,2,2,9,"$17,334,888",2:54,1990
New York Mets,27.5,28.0,100,99,0,3,13,"$21,922,834",2:52,1990
New York Yankees,28.2,29.1,100,101,1,1,10,"$21,312,318",2:57,1990
Oakland Athletics,29.1,31.7,95,94,3,5,19,"$20,087,501",2:54,1990
Philadelphia Phillies,28.6,26.5,99,100,0,1,12,"$13,740,167",2:52,1990
Pittsburgh Pirates,27.7,28.9,96,95,0,3,12,"$15,556,000",2:48,1990
San Diego Padres,28.7,29.5,101,101,2,3,13,"$17,788,334",2:46,1990
Seattle Mariners,27.9,26.9,100,100,3,2,12,"$12,867,667",2:52,1990
