team
Atlanta Braves
Baltimore Orioles
Boston Red Sox
California Angels
Chicago White Sox
Chicago Cubs
Cincinnati Reds
Cleveland Indians
Detroit Tigers
Houston Astros
Kansas City Royals
Los Angeles Dodgers
Minnesota Twins
Milwaukee Brewers
Montreal Expos
New York Yankees
New York Mets
Oakland Athletics
Philadelphia Phillies
Pittsburgh Pirates
San Diego Padres
Seattle Mariners
San Francisco Giants
St. Louis Cardinals
Texas Rangers
Toronto Blue Jays
Colorado Rockies
Florida Marlins
Anaheim Angels
Arizona Diamondbacks
Tampa Bay Devil Rays
Los Angeles Angels of Anaheim
Washington Nationals
Tampa Bay Rays
Miami Marlins
